# Encoder + FingerprintDecoder (lambda=0.25) — 60 epochs, batch=256, seed=0
# Config: V=512, d=256, num_layers=6, K_layers=[1,3,5]
#         gamma_teacher=0.95, gamma_codebook=0.99, mask_prob=0.15
#         decoder: MLP(256 -> 512 -> 2048), BCE loss on Morgan fingerprint
# Max entropy for 512 uniform codewords = ln(512) ≈ 6.238
# Observation: virtually identical entropy collapse to no-decoder run.
#   Fingerprint decoder provides global signal only — insufficient to prevent per-token collapse.
#   Loss does trend downward more consistently (decoder loss is learnable).
Epoch   Loss     L1:active  L1:ent   L3:active  L3:ent   L5:active  L5:ent
    1   18.8037     507    5.743      508    5.811      509    5.772
    2   14.3909     511    5.294      510    5.192      510    5.240
    3   11.2620     512    4.843      510    4.923      509    4.853
    4   12.3156     509    4.661      508    4.879      511    4.817
    5   11.6839     510    4.584      510    4.787      510    4.828
    6   11.0051     510    4.551      510    4.816      511    4.793
    7   12.9080     512    4.546      510    4.826      512    4.807
    8   11.0298     512    4.547      511    4.773      511    4.724
    9   11.6944     511    4.555      510    4.772      511    4.710
   10   12.5918     509    4.592      508    4.865      510    4.804
   11   12.7492     504    4.733      507    4.954      504    4.940
   12   12.9803     508    4.911      509    5.084      509    5.083
   13   12.4871     510    5.034      511    5.191      511    5.178
   14   11.4382     512    5.119      511    5.186      511    5.212
   15   10.6542     509    5.149      508    5.187      508    5.244
   16   11.2783     509    5.191      511    5.242      511    5.287
   17   10.1711     508    5.234      509    5.282      512    5.323
   18   14.0953     509    5.291      509    5.338      509    5.368
   19   12.5992     510    5.346      509    5.403      506    5.441
   20   12.0530     511    5.398      512    5.448      511    5.499
   21   10.7263     510    5.419      511    5.451      508    5.517
   22    9.8006     506    5.440      511    5.478      510    5.523
   23   10.8347     508    5.501      510    5.514      510    5.541
   24   12.1865     512    5.534      510    5.555      508    5.566
   25   12.2074     507    5.535      510    5.583      510    5.605
   26   11.7661     507    5.563      510    5.615      511    5.611
   27   11.4050     508    5.575      511    5.653      510    5.606
   28   11.3153     512    5.598      511    5.664      510    5.599
   29    9.0088     508    5.609      511    5.658      511    5.611
   30   10.8464     510    5.625      510    5.640      508    5.622
   31   10.4195     510    5.630      509    5.630      509    5.636
   32   11.4376     509    5.631      510    5.636      512    5.645
   33   11.1145     512    5.653      511    5.624      508    5.649
   34   10.1038     510    5.649      512    5.631      512    5.677
   35   10.9407     512    5.644      512    5.647      510    5.673
   36    9.9470     510    5.656      511    5.638      512    5.674
   37    9.8505     509    5.665      511    5.633      512    5.674
   38   10.6453     506    5.675      512    5.609      512    5.657
   39    9.1172     511    5.677      512    5.581      511    5.657
   40    9.2034     511    5.666      512    5.552      511    5.640
   41   10.3097     509    5.659      511    5.522      511    5.620
   42   10.1498     511    5.647      510    5.484      512    5.595
   43   10.9731     511    5.642      511    5.459      511    5.566
   44    9.7969     511    5.620      512    5.442      512    5.536
   45    8.9106     511    5.610      512    5.426      512    5.499
   46    8.4410     512    5.578      512    5.399      512    5.445
   47    8.8103     510    5.518      510    5.382      511    5.406
   48    7.9271     512    5.463      512    5.367      511    5.381
   49    7.6125     512    5.396      512    5.332      511    5.345
   50   10.3645     512    5.341      512    5.289      512    5.316
   51    8.5726     512    5.272      512    5.238      512    5.281
   52    7.9122     512    5.196      512    5.199      512    5.236
   53    8.2820     511    5.147      512    5.177      510    5.189
   54    9.2123     512    5.112      510    5.148      511    5.165
   55    9.0539     512    5.066      512    5.125      512    5.131
   56    8.3630     512    5.008      512    5.092      511    5.088
   57    8.3677     511    4.950      512    5.058      512    5.069
   58    9.0967     512    4.907      512    5.026      512    5.046
   59    9.4527     512    4.868      512    5.000      510    5.020
   60    8.8893     512    4.833      512    4.979      512    5.008
