# Encoder only, no decoder — 60 epochs, batch=256, seed=0
# Config: V=512, d=256, num_layers=6, K_layers=[1,3,5]
#         gamma_teacher=0.95, gamma_codebook=0.99, mask_prob=0.15
# Max entropy for 512 uniform codewords = ln(512) ≈ 6.238
# Observation: entropy slowly declines 5.8 → 4.9, loss oscillates ~8-14, no convergence.
Epoch   Loss     L1:active  L1:ent   L3:active  L3:ent   L5:active  L5:ent
    1   18.6136     508    5.742      505    5.821      506    5.787
    2   14.0328     512    5.253      510    5.159      512    5.260
    3   10.9556     511    4.783      509    4.834      511    4.973
    4    9.5814     509    4.584      512    4.754      509    4.785
    5   12.0043     512    4.586      511    4.723      511    4.717
    6   11.6776     510    4.562      511    4.724      509    4.780
    7   10.9599     509    4.595      511    4.735      508    4.802
    8   12.3017     511    4.631      509    4.773      508    4.831
    9   11.5088     506    4.675      511    4.848      512    4.827
   10   11.8689     511    4.806      511    4.926      508    4.880
   11   12.6320     507    4.936      502    5.010      507    4.986
   12   13.9857     507    5.062      509    5.153      510    5.111
   13   12.7572     509    5.166      510    5.243      509    5.182
   14   11.7503     510    5.220      512    5.256      509    5.236
   15   12.6938     512    5.249      511    5.273      512    5.262
   16   11.9217     510    5.284      510    5.303      509    5.286
   17   12.5799     511    5.328      509    5.310      511    5.357
   18   12.4102     510    5.359      509    5.372      509    5.399
   19   13.1220     507    5.378      510    5.418      504    5.457
   20   13.5977     508    5.410      512    5.442      510    5.509
   21   12.1168     510    5.450      510    5.478      509    5.525
   22   12.1420     510    5.485      509    5.536      511    5.541
   23   12.0208     509    5.530      509    5.577      510    5.559
   24   11.3380     510    5.567      508    5.610      511    5.592
   25   12.5699     509    5.566      507    5.645      511    5.599
   26   11.6753     509    5.576      512    5.651      512    5.613
   27   11.7238     507    5.590      510    5.641      512    5.619
   28   12.3935     508    5.611      511    5.660      510    5.651
   29   10.7621     510    5.626      509    5.671      509    5.669
   30   11.9570     511    5.644      512    5.701      511    5.686
   31   12.1655     510    5.652      511    5.713      509    5.695
   32   12.5926     507    5.682      510    5.715      511    5.695
   33   10.4002     511    5.713      511    5.716      512    5.676
   34   10.6993     511    5.725      509    5.705      509    5.649
   35   12.1581     511    5.715      512    5.722      510    5.661
   36   11.6274     510    5.703      511    5.719      510    5.666
   37   10.6267     510    5.701      510    5.694      512    5.671
   38    9.0664     510    5.691      512    5.684      511    5.643
   39   10.5986     511    5.680      512    5.650      511    5.609
   40    8.7789     511    5.662      511    5.616      510    5.582
   41    9.8346     512    5.641      511    5.587      510    5.551
   42   10.4890     512    5.611      512    5.559      511    5.541
   43    8.2098     512    5.583      512    5.519      512    5.527
   44    9.5152     512    5.542      511    5.481      510    5.503
   45   10.2510     512    5.490      511    5.451      511    5.488
   46    8.5094     511    5.441      511    5.417      512    5.450
   47   11.0246     511    5.406      512    5.410      511    5.413
   48    8.9152     511    5.366      511    5.386      511    5.391
   49   10.0052     510    5.335      512    5.355      512    5.355
   50    9.8913     512    5.318      512    5.308      512    5.307
   51    8.9938     512    5.280      512    5.262      511    5.273
   52    8.3389     512    5.246      512    5.208      512    5.249
   53    8.7635     512    5.213      512    5.178      512    5.213
   54    9.7140     512    5.175      512    5.154      510    5.189
   55   10.3538     512    5.135      512    5.123      511    5.175
   56    8.8569     511    5.092      512    5.087      511    5.152
   57   10.1152     512    5.049      511    5.054      512    5.126
   58    9.8180     512    5.014      511    5.016      512    5.097
   59    8.7340     511    4.968      511    4.993      511    5.061
   60    8.8037     512    4.930      512    4.974      511    5.042
